Episode,Drugs_Consumed,Food_Consumed,Preference_Ratio,Total_Reward,Epsilon,Snake_Length
0,0,1,0.0,0,1.0,4
1,0,0,0.0,-1,0.995,3
2,0,0,0.0,-1,0.990025,3
3,0,0,0.0,-1,0.985074875,3
4,0,0,0.0,-1,0.9801495006250001,3
5,0,0,0.0,-1,0.9752487531218751,3
6,0,0,0.0,-1,0.9703725093562657,3
7,0,2,0.0,1,0.9655206468094844,5
8,1,1,1.0,25,0.960693043575437,4
9,1,0,inf,24,0.9558895783575597,3
10,0,0,0.0,-1,0.9511101304657719,3
11,0,0,0.0,-1,0.946354579813443,3
12,1,0,inf,24,0.9416228069143757,3
13,0,0,0.0,-1,0.9369146928798039,3
14,0,0,0.0,-1,0.9322301194154049,3
15,0,0,0.0,-1,0.9275689688183278,3
16,0,0,0.0,-1,0.9229311239742362,3
17,0,1,0.0,0,0.918316468354365,4
18,0,0,0.0,-1,0.9137248860125932,3
19,0,0,0.0,-1,0.9091562615825302,3
20,0,0,0.0,-1,0.9046104802746175,3
21,0,0,0.0,-1,0.9000874278732445,3
22,0,2,0.0,1,0.8955869907338783,5
23,0,0,0.0,-1,0.8911090557802088,3
24,0,0,0.0,-1,0.8866535105013078,3
25,0,0,0.0,-1,0.8822202429488013,3
26,0,0,0.0,-1,0.8778091417340573,3
27,1,0,inf,24,0.8734200960253871,3
28,0,0,0.0,-1,0.8690529955452602,3
29,0,0,0.0,-1,0.8647077305675338,3
30,0,0,0.0,-1,0.8603841919146962,3
31,0,0,0.0,-1,0.8560822709551227,3
32,1,0,inf,24,0.851801859600347,3
33,0,0,0.0,-1,0.8475428503023453,3
34,0,1,0.0,0,0.8433051360508336,4
35,0,0,0.0,-1,0.8390886103705794,3
36,0,1,0.0,0,0.8348931673187264,4
37,0,1,0.0,0,0.8307187014821328,4
38,1,1,1.0,25,0.8265651079747222,4
39,1,1,1.0,25,0.8224322824348486,4
40,0,0,0.0,-1,0.8183201210226743,3
41,0,0,0.0,-1,0.8142285204175609,3
42,1,0,inf,24,0.810157377815473,3
43,1,0,inf,24,0.8061065909263957,3
44,0,0,0.0,-1,0.8020760579717637,3
45,0,0,0.0,-1,0.798065677681905,3
46,0,0,0.0,-1,0.7940753492934954,3
47,1,0,inf,24,0.7901049725470279,3
48,1,0,inf,24,0.7861544476842928,3
49,1,0,inf,24,0.7822236754458713,3
50,0,0,0.0,-1,0.778312557068642,3
51,0,0,0.0,-1,0.7744209942832988,3
52,0,1,0.0,0,0.7705488893118823,4
53,1,1,1.0,25,0.7666961448653229,4
54,0,0,0.0,-1,0.7628626641409962,3
55,0,0,0.0,-1,0.7590483508202912,3
56,2,2,1.0,51,0.7552531090661897,5
57,0,0,0.0,-1,0.7514768435208588,3
58,0,0,0.0,-1,0.7477194593032545,3
59,0,0,0.0,-1,0.7439808620067382,3
60,0,0,0.0,-1,0.7402609576967045,3
61,0,0,0.0,-1,0.736559652908221,3
62,1,0,inf,24,0.7328768546436799,3
63,0,0,0.0,-1,0.7292124703704616,3
64,0,0,0.0,-1,0.7255664080186093,3
65,0,0,0.0,-1,0.7219385759785162,3
66,0,0,0.0,-1,0.7183288830986236,3
67,0,0,0.0,-1,0.7147372386831305,3
68,0,0,0.0,-1,0.7111635524897149,3
69,0,0,0.0,-1,0.7076077347272662,3
70,1,0,inf,24,0.7040696960536299,3
71,0,1,0.0,0,0.7005493475733617,4
72,0,0,0.0,-1,0.697046600835495,3
73,0,0,0.0,-1,0.6935613678313175,3
74,0,0,0.0,-1,0.6900935609921609,3
75,0,0,0.0,-1,0.6866430931872001,3
76,1,0,inf,24,0.6832098777212641,3
77,0,0,0.0,-1,0.6797938283326578,3
78,0,0,0.0,-1,0.6763948591909945,3
79,0,0,0.0,-1,0.6730128848950395,3
80,0,0,0.0,-1,0.6696478204705644,3
81,0,0,0.0,-1,0.6662995813682115,3
82,0,1,0.0,0,0.6629680834613705,4
83,0,0,0.0,-1,0.6596532430440636,3
84,0,0,0.0,-1,0.6563549768288433,3
85,1,0,inf,24,0.653073201944699,3
86,0,0,0.0,-1,0.6498078359349755,3
87,0,0,0.0,-1,0.6465587967553006,3
88,0,0,0.0,-1,0.6433260027715241,3
89,0,0,0.0,-1,0.6401093727576664,3
90,0,0,0.0,-1,0.6369088258938781,3
91,0,0,0.0,-1,0.6337242817644086,3
92,0,0,0.0,-1,0.6305556603555866,3
93,0,0,0.0,-1,0.6274028820538087,3
94,0,0,0.0,-1,0.6242658676435396,3
95,1,0,inf,24,0.6211445383053219,3
96,0,0,0.0,-1,0.6180388156137953,3
97,0,0,0.0,-1,0.6149486215357263,3
98,0,0,0.0,-1,0.6118738784280476,3
99,1,0,inf,24,0.6088145090359074,3
100,0,0,0.0,-1,0.6057704364907278,3
101,0,0,0.0,-1,0.6027415843082742,3
102,1,0,inf,24,0.5997278763867329,3
103,0,0,0.0,-1,0.5967292370047992,3
104,0,0,0.0,-1,0.5937455908197752,3
105,0,0,0.0,-1,0.5907768628656763,3
106,0,0,0.0,-1,0.5878229785513479,3
107,0,1,0.0,0,0.5848838636585911,4
108,0,0,0.0,-1,0.5819594443402982,3
109,0,0,0.0,-1,0.5790496471185967,3
110,0,0,0.0,-1,0.5761543988830038,3
111,1,0,inf,24,0.5732736268885887,3
112,0,0,0.0,-1,0.5704072587541458,3
113,0,1,0.0,0,0.567555222460375,4
114,0,0,0.0,-1,0.5647174463480732,3
115,1,1,1.0,25,0.5618938591163328,4
116,0,0,0.0,-1,0.5590843898207511,3
117,0,1,0.0,0,0.5562889678716474,4
118,3,0,inf,74,0.5535075230322891,3
119,1,0,inf,24,0.5507399854171277,3
120,0,0,0.0,-1,0.547986285490042,3
121,0,0,0.0,-1,0.5452463540625918,3
122,1,0,inf,24,0.5425201222922789,3
123,1,0,inf,24,0.5398075216808175,3
124,0,0,0.0,-1,0.5371084840724134,3
125,0,2,0.0,1,0.5344229416520513,5
126,0,0,0.0,-1,0.531750826943791,3
127,0,0,0.0,-1,0.5290920728090721,3
128,0,0,0.0,-1,0.5264466124450268,3
129,0,0,0.0,-1,0.5238143793828016,3
130,1,0,inf,24,0.5211953074858876,3
131,0,0,0.0,-1,0.5185893309484582,3
132,0,0,0.0,-1,0.5159963842937159,3
133,0,1,0.0,0,0.5134164023722473,4
134,0,0,0.0,-1,0.510849320360386,3
135,0,0,0.0,-1,0.5082950737585841,3
136,0,0,0.0,-1,0.5057535983897912,3
137,0,0,0.0,-1,0.5032248303978422,3
138,0,0,0.0,-1,0.500708706245853,3
139,0,0,0.0,-1,0.4982051627146237,3
140,0,0,0.0,-1,0.49571413690105054,3
141,0,2,0.0,1,0.4932355662165453,5
142,0,0,0.0,-1,0.4907693883854626,3
143,0,0,0.0,-1,0.4883155414435353,3
144,0,0,0.0,-1,0.4858739637363176,3
145,0,0,0.0,-1,0.483444593917636,3
146,0,0,0.0,-1,0.4810273709480478,3
147,0,0,0.0,-1,0.47862223409330756,3
148,0,0,0.0,-1,0.47622912292284103,3
149,0,0,0.0,-1,0.4738479773082268,3
150,1,0,inf,24,0.47147873742168567,3
151,0,1,0.0,0,0.46912134373457726,4
152,0,0,0.0,-1,0.46677573701590436,3
153,1,0,inf,24,0.46444185833082485,3
154,0,0,0.0,-1,0.46211964903917074,3
155,0,0,0.0,-1,0.4598090507939749,3
156,0,0,0.0,-1,0.457510005540005,3
157,0,0,0.0,-1,0.45522245551230495,3
